"LO"	"HI"	"INIT"	"PRIOR"	"PR_SD"	"PR_type"	"PHASE"	"desc"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_24_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_25_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_25_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_25_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_25_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_26_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_26_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_26_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_26_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_27_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_27_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_27_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_27_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_28_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_28_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_28_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_28_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_29_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_29_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_29_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_29_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_30_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_30_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_30_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_30_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_31_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_31_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_31_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_31_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_32_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_32_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_32_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_32_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_33_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_33_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_33_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_33_BLK1add_2019"
